OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLO2DAVCRK03,Davis Creek Reservoir -- Southwest Boat Ramp -- Site 03,Lake,,10210007,,,,,41.418889,-98.757911,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,175,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLO3SHERMN04,Sherman Reservoir -- Thunder Bay Boat Ramp -- Site 04,Lake,,10210003,,,,,41.29515,-98.897439,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,163,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT0904,Fremont Lake No. 9 (SRA) -- Swimming Beach -- Site 04,Lake,,10200202,,,,,41.44576,-96.55581,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,053,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT1004,Fremont Lake No. 10 (SRA) -- Swimming Beach -- Site 04,Lake,,10200202,,,,,41.445771,-96.55089,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,053,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT1504,Fremont Lake No. 15 (SRA) -- Victory Lake -- Southeast Beach -- Site 04,Lake,,10200202,,,,,41.438595,-96.535023,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,053,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT2004,Fremont Lake No. 20 (SRA) -- East Beach -- Site 04,Lake,,10200202,,,,,41.43748,-96.54665,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,053,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT2005,Fremont Lake No. 20 (SRA) -- West Beach -- Site 05,Lake,,10200202,,,,,41.43828,-96.55141,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,053,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1LNORTH04,Lake North -- Northwest Swimming Beach -- Site 04,Lake,,10200201,,,,,41.49578,-97.35912,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,141,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1LOUIS204,Louisville Lake No. 2 (SRA) -- Swimming Beach -- Site 04,Lake,,10200202,,,,,41.00237,-96.171973,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,025,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1TWORI404,Two Rivers Lake No. 4 (SRA) -- Swimming Beach -- Site 04,Lake,,10200202,,,,,41.224635,-96.353402,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,055,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2BLUEST05,Bluestem Lake -- Swimming Beach South of Dam -- Site 05,Lake,,10200203,,,,,40.626667,-96.792594,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2BRNOAK09,Branched Oak Lake -- Liebers Point Beach -- Site 09,Lake,,10200203,,,,,40.972167,-96.870944,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2BRNOAK10,Branched Oak Lake -- Area 10 Beach -- Site 10,Lake,,10200203,,,,,40.983528,-96.863611,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2CONEST03,Conestoga Lake -- Boat Ramp -- Site 03,Lake,,10200203,,,,,40.769253,-96.850394,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2HOLMES04,Holmes Lake -- Center of North Shore -- Site 04,Lake,,10200203,,,,,40.7816,-96.63105,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2PAWNEE03,Pawnee Lake -- East Beach -- Site 03,Lake,,10200203,,,,,40.847311,-96.870994,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2PAWNEE05,Pawnee Lake -- West Beach -- Site 05,Lake,,10200203,,,,,40.84585,-96.878403,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2WAGONT04,Wagon Train Lake -- Swimming Beach -- Site 04,Lake,,10200203,,,,,40.62672,-96.581533,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMP1BADER204,Bader Memorial Lake No. 2 -- Swimming Beach -- Site 04,Lake,,10200102,,,,,40.986713,-98.151145,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,121,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMP2FTKRN104,Ft. Kearny Lake No. 1 (SRA) -- South Beach (NGPC #7) -- Site 04,Lake,,10200101,,,,,40.653559,-98.987657,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,099,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMP2JOHNSN04,Johnson Lake -- Swimming Beach at Southeast Corner of Lake -- Site 04,Lake,,10200101,,,,,40.678867,-99.831706,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,31,073,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMP2MRMISL04,West Mormon Island Lake (SRA) -- Beach -- Site 04,Lake,,10200101,,,,,40.82493,-98.36922,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,079,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMP2WNDML504,Windmill Lake No. 5 (SRA) -- Beach -- Site 04,Lake,,10200101,,,,,40.707719,-98.835583,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,019,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03,Carter Lake (Omaha) -- North Shore Boat Ramp -- Site 03,Lake,,10230006,,,,,41.30372,-95.91317,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,055,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER04,Carter Lake (Omaha) -- South Pier -- Site 04,Lake,,10230006,,,,,41.29267,-95.903,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,055,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER06,Carter Lake (Omaha) -- Southwest Corner of Lake -- Site 06,Lake,,10230006,,,,,41.29083,-95.93097,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,055,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1GCUNNL05,Glenn Cunningham Lake (Site No. 11) -- Boat Ramp -- Site 05,Lake,,10230006,,,,,41.340451,-96.047122,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,055,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNE2IRONHT04,Iron Horse Trail Lake (WMA) -- Iron Horse Beach -- Site 04,Lake,,10240007,,,,,40.047597,-96.098026,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,133,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNE2KIRKCV06,Kirkmanus Cove Lake -- Swimming Beach -- Site 06,Lake,,10240008,,,,,40.186576,-95.987402,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,147,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNE3WRTHBR04,Wirth Brothers Lake (Site 27) -- Southeast Beach -- Site 04,Lake,,10240006,,,,,40.450062,-96.200703,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,097,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNI3MERRIT04,Merritt Reservoir -- Northeast Swimming Beach -- Site 04,Lake,,10150005,,,,,42.631653,-100.867454,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,031,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNI3VALMPD03,Valentine Mill Pond -- Southeast Boat Dock -- Site 03,Lake,,10150004,,,,,42.88441,-100.55437,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,031,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNI4BOXBUT04,Box Butte Reservoir -- North Swimming Beach -- Site 04,Lake,,10150002,,,,,42.46233,-103.0774,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,045,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNP2MCCNHY03,Lake C.W. McConaughy -- Martin's Bay Swimming Beach -- Site 03,Lake,,10180014,,,,,41.246483,-101.684773,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,101,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNP3BRPTMI04,Bridgeport Middle Lake (SRA) -- Southeast Swimming Beach -- Site 04,Lake,,10180009,,,,,41.676862,-103.109114,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,123,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LNP3MINTRE04,Lake Minatare (North Platte NWR) -- West Beach -- Site 04,Lake,,10180009,,,,,41.93285,-103.50277,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,157,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LRE2HARLAN03,Harlan County Reservoir -- Southeast Beach  -- Site 03,Lake,,10250009,,,,,40.05275,-99.21259,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,083,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LRE3ENDERS04,Enders Reservoir -- East Beach -- Site 04,Lake,,10250005,,,,,40.4351,-101.52369,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,029,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LRE3HBUTLR04,Hugh Butler Lake (Red Willow Reservoir) -- Swimming Beach North of Dam -- Site 04,Lake,,10250007,,,,,40.367875,-100.669208,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,063,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LRE3HSTRNK04,Harry Strunk Lake (Medicine Creek Reservoir) -- Trail 4 Beach -- Site 04,Lake,,10250008,,,,,40.38381,-100.21869,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,063,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LRE3SWANSN04,Swanson Reservoir -- Swimming Beach 3 miles West of Dam -- Site 04,Lake,,10250004,,,,,40.1682,-101.10879,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,087,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LSP1MALONY04,Lake Maloney -- Outlet Beach -- Site 04,Lake,,10190018,,,,,41.047506,-100.769731,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,111,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LSP1MALONY05,Lake Maloney -- Outlet Boat Ramp -- Site 05,Lake,,10190018,,,,,41.045946,-100.769771,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,111,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LSP1SUTHLD03,Sutherland Reservoir -- Hershey Swimming Beach -- Site 03,Lake,,10190018,,,,,41.101371,-101.10964,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,111,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LSP2OLIVER04,Oliver Reservoir -- Swimming Beach -- Site 04,Lake,,10190016,,,,,41.22879,-103.822715,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,105,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-BLULKML1,BLULKML1,Reservoir,"Mid-lake - on SW  side of lake, midway between the dam and shallow end of lake.",10200203,,,,,40.6343,-96.7957,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-BLULKND1,BLULKND1,Reservoir,"Deepwater - about 100' from dam face, a little SW of the center fo the dam.",10200203,,,,,40.6286,-96.7913,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-BOKLKMLN1,BOKLKMLN1,Reservoir,North Arm - Midlake - midway between the two shores about 1/3 of the way down the north arm of the lake.,10200203,,,,,40.9792,-96.8692,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-BOKLKMLS1,BOKLKMLS1,Reservoir,South Arm - Mid-lake - across from south swimming beach,10200203,,,,,40.9666,-96.8796,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-BOKLKND1,BOKLKND1,Reservoir,Deepwater - Near outlet structure,10200203,,,,,40.9734,-96.8539,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-CCVLKDW1,CCVLKDW1,Lake,,10230001,,,,,42.4453,-96.4228,,,,Unknown,OTHER,,,,,,,US,31,043,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-CONLKML1,CONLKML1,Reservoir,"Mid-lake - near the shallow water 5mph bouys at the shallow end of the lake, about midway between the two shores and across from the small point.",10200203,,,,,40.7655,-96.8522,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-CONLKND1,CONLKND1,Reservoir,"Deepwater - mid point of the dam, about 100' from the dam face",10200203,,,,,40.7654,-96.8471,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-CRYLKDW1,CRYLKDW1,Lake,,10230001,,,,,42.4472,-96.4763,,,,Interpolation-Digital Map Source (Tiger),OTHER,,,,,,,US,31,043,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-ETNLKML1,ETNLKML1,Reservoir,"Mid-lake - towards the island in the shallow end of the lake, about midway between the two shores, about 1/2 way between the island and the dam, maybe a little closer to the island than the dam.",10200203,,,,,40.8308,-96.95,,,,Interpolation-Digital Map Source (Tiger),NAD27,,,,,,,US,31,159,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-ETNLKND1,ETNLKND1,Reservoir,"Deepwater - near center of dam, about 100' from the dam face",10200203,,,,,40.8259,-96.9451,,,,GPS-Unspecified,NAD27,,,,,,,US,31,159,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-EZRLKBACT,EZRLKBACT,Reservoir,,10230006,,,,,41.2189,-96.1616,,,,Interpolation-Digital Map Source (Tiger),NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-EZRLKML1,EZRLKML1,Reservoir,"Mid-lake - near north shore - just west of the large point on the north shore, about half way between the 168th St bridge and dam, in the old stream channel.",10230006,,,,,41.2187,-96.1658,,,,GPS-Unspecified,NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-EZRLKND1,EZRLKND1,Reservoir,Deepwater - near dam - Midway between outlet structure and fishing pier,10230006,,,,,41.2189,-96.1616,,,,GPS-Unspecified,NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-EZRLKUP1,EZRLKUP1,Reservoir,Shallow - Just West of 168th Street bridge,10230006,,,,,41.2213,-96.1781,,,,GPS-Unspecified,NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-EZRNF1,EZRNF1,River/Stream,"Inflow - 192nd Street, just south of center.  Taken from the ridge just south of the nursery parking lot.",10230006,,,,,41.2314,-96.2149,,,,Interpolation-Digital Map Source (Tiger),NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GCRLKBACT1,GCRLKBACT1,Reservoir,Bacteria Site - near boat ramp dock,10230006,,,,,41.3402,-96.0479,,,,Interpolation-Digital Map Source (Tiger),NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GCRLKML1,GCRLKML1,Reservoir,Mid-Lake - Just south of the old road that runs down to the lake,10230006,,,,,41.3506,-96.0549,,,,GPS-Unspecified,NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GCRLKND1,GCRLKND1,Reservoir,Deepwater - near outlet structure,10230006,,,,,41.3398,-96.0526,,,,GPS-Unspecified,NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GCRNFEST1,GCRNFEST1,River/Stream,"Inflow - 1/2 mile from inlet to lake, at Rainwood road brigde crossing.  Turn east from 84th st. onto rainwood, 1/2 mile to bridge.",10230006,,,,,41.3498,-96.0376,24000,,,Interpolation-Map,NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GCRNFNRT1,GCRNFNRT1,River/Stream,"Inflow - on Little Papillion creek apoprox. 2 miles upstream from its inlet to Glenn Cunningham lake at Dutch Hall road bridge crossing.  Dutch hall rd. can be accessed from N 90th street, go  east",10230006,,,,,41.3929,-96.055,24000,,,Interpolation-Map,NAD27,,,,,,,US,31,055,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GPTLK0825DW,GPTLK0825DW,Reservoir,,10170101,,,,,42.8408,-97.7554,,,,Interpolation-Digital Map Source (Tiger),OTHER,,,,,,,US,31,107,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GPTLKBACT5,GPTLKBACT5,Reservoir,Lewis and Clark Lake - Bacteria Site - Weigand Beach,10170101,,,,,42.8373,-97.5819,,,,GPS-Unspecified,NAD27,,,,,,,US,31,107,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GPTRRTW1B,GPTRRTW1B,River/Stream,Taken from access area on south side of missouri river - taken at boat ramp at end of parking lot when river access is unavailable - same location as station: 1GPT300200,10170101,,,,,42.8497,-97.4785,24000,,,Interpolation-Map,NAD27,,,,,,,US,31,027,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GWYLKDW1,GWYLKDW1,Lake,,10230001,,,,,42.4427,-96.4226,,,,Interpolation-Digital Map Source (Tiger),OTHER,,,,,,,US,31,043,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-GWYLKSW1,GWYLKSW1,Lake,,10230001,,,,,42.4449,-96.4233,,,,Interpolation-Digital Map Source (Tiger),OTHER,,,,,,,US,31,043,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-HOLLKMLN1,HOLLKMLN1,Reservoir,"North Arm - taken about 200 meters from the bridge over the inlet area of the north arm ofthe lake, in about 1m of water.",10200203,,,,,40.781,-96.6325,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-HOLLKMLS1,HOLLKMLS1,Reservoir,"South Arm - taken about 100m from the dock in the center of the south arm f the lake, in about 1-3m of water",10200203,,,,,40.7757,-96.639,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-HOLLKND1,HOLLKND1,Reservoir,Deepwater - near center of dam,10200203,,,,,40.7815,-96.6357,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-MORRR0498B,MORRR0498B,River/Stream,Just downstream of the Highway 159 bridge.  Near USGS gaging site 06813500 at Missouri River Mile 498.  Taken from Boat Ramp when river access is not available.,10240005,,,,,40.0502,-95.4209,,,,GPS-Unspecified,NAD83,,,,,,,US,31,147,,,,,,,,,STORET
