OrganizationIdentifier,OrganizationFormalName,MonitoringLocationIdentifier,MonitoringLocationName,MonitoringLocationTypeName,MonitoringLocationDescriptionText,HUCEightDigitCode,DrainageAreaMeasure/MeasureValue,DrainageAreaMeasure/MeasureUnitCode,ContributingDrainageAreaMeasure/MeasureValue,ContributingDrainageAreaMeasure/MeasureUnitCode,LatitudeMeasure,LongitudeMeasure,SourceMapScaleNumeric,HorizontalAccuracyMeasure/MeasureValue,HorizontalAccuracyMeasure/MeasureUnitCode,HorizontalCollectionMethodName,HorizontalCoordinateReferenceSystemDatumName,VerticalMeasure/MeasureValue,VerticalMeasure/MeasureUnitCode,VerticalAccuracyMeasure/MeasureValue,VerticalAccuracyMeasure/MeasureUnitCode,VerticalCollectionMethodName,VerticalCoordinateReferenceSystemDatumName,CountryCode,StateCode,CountyCode,AquiferName,FormationTypeText,AquiferTypeName,ConstructionDateText,WellDepthMeasure/MeasureValue,WellDepthMeasure/MeasureUnitCode,WellHoleDepthMeasure/MeasureValue,WellHoleDepthMeasure/MeasureUnitCode,ProviderName
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2PAWNEE05,Pawnee Lake -- West Beach -- Site 05,Lake,,10200203,,,,,40.84585,-96.878403,,,,GPS Code (Pseudo Range) Standard Position (SA Off),NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP2PAWNEE06,Pawnee Lake -- Mid-Lake Between Beaches -- Site 06,Lake,,10200203,,,,,40.846485,-96.873574,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,109,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-SLP2MDCLR203,"Pawnee Lake NW Inflow, West Fletcher Road",Land Runoff,,10200203,,,,,40.871917,-96.908528,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-PAWLKML1,PAWLKML1,Reservoir,Mid-Lake - Between the two swim beaches,10200203,,,,,40.8482,-96.8745,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-PAWLKND1,PAWLKND1,Reservoir,Deepwater - near outlet structure,10200203,,,,,40.8393,-96.8687,,,,GPS-Unspecified,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-PAWLKUP1,PAWLKUP1,Reservoir,"Shallow - in upper end of the lake, near exposed trees, in about 1m of water.",10200203,,,,,40.8558,-96.8839,24000,,,Interpolation-Map,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
COEOMAHA_WQX,US Army Corps of Engineers Omaha District,COEOMAHA_WQX-PAWRL1,PAWRL1,River/Stream,Outflow - taken from the far side of the dam directly from the outlet structure.,10200203,,,,,40.8383,-96.8647,24000,,,Interpolation-Map,NAD27,,,,,,,US,31,109,,,,,,,,,STORET
EPA_R7,US EPA Region 7,EPA_R7-007733,PAWNEE LAKE,Lake,"PAWNEE LAKE NEAR THE DAM.  NW1/4,SEC.16,T.10N.,R.5E.                    ¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶MIGRATED FROM LEGACY STORET AGENCY CODE (1117MBR ) ON 13-DEC-99¶MAJOR BASIN NAME: MISSOURI RIVER          ¶BASIN CODE: 090800¶MINOR BASIN NAME: LOWER PLATTE R. FROM NORTH PLATTE.",10200203,,,,,40.8402778,-96.8666667,,,,Unknown,UNKWN,,,,,,,US,31,109,,,,,,,,,STORET
NARS_WQX,EPA National Aquatic Resources Survey (NARS),NARS_WQX-NLA06608-3736,Pawnee Lake,Lake,"VISIT_NO=""0"";WSA_ECO3=""PLNLOW"";WSA_ECO9=""TPL"";REACHCODE=""10200203001565"";COM_ID=""17404975"";NHDNAME=""Pawnee Lake"";LAKE_SAMP=""Not_Needed"";SITE_TYPE=""PROB_Lake"";TNT=""NotNeeded"";ALBERS_X=""-73624.7534534"";ALBERS_Y=""376152.64145"";EPA_REG=""Region_7"";AREA_CAT7="">100"";NESLAKE=""NESLake"";NESLAKE_ID=""3107""",10200203,,,,,40.8536074,-96.88051817,,,,GPS-Unspecified,WGS84,,,,,,,US,31,109,,,,,,,,,STORET
USGS-NE,USGS Nebraska Water Science Center,USGS-411749095534701,15N 13E 1DB  1,Well,,10230006,,,,,41.296942,-95.8966794,,5,seconds,Interpolated from map,NAD83,977,feet,10,feet,Unknown,NGVD29,US,31,55,Alluvial aquifers,Sand and Gravel Deposits,,19680101,110,ft,,,NWIS
USGS-NE,USGS Nebraska Water Science Center,USGS-411800095534800,"PRECIP TRITIUM SITE, WB, OMAHA, NE",Atmosphere,,10230006,,,,,41.2999975,-95.8969572,,5,seconds,Interpolated from map,NAD83,,,,,,,US,31,55,,,,,,,,,NWIS
1117MBR,US EPA Region 7,1117MBR-005522,CARTER LK NORTH EAST SHORE,Lake,"COUNTY: DDOUGLAS, CITY: N/A, LAMS STATION CODE: 61000000                ¶CARTER LAKE ON NORTHEAST NEBRASKA SHORE. T 15N R13E SEC 1 NW 1/4        ¶¶¶¶¶¶¶¶¶¶¶¶¶¶MIGRATED FROM LEGACY STORET AGENCY CODE (1117MBR ) ON 08-JAN-01¶MAJOR BASIN NAME: MISSOURI                ¶BASIN CODE: 091200¶MINOR BASIN NAME: MISSOURI TRIB",10230006,,,,,41.3052778,-95.9058333,,,,Unknown,UNKWN,,,,,,,US,31,55,,,,,,,,,STORET
1117MBR,US EPA Region 7,1117MBR-005523,CARTER LK. N SHORE AT BOAT RAP,Lake,"COUNTY: DOUGLAS, CITY: N/A, LAMS STATION CODE: 61000000                 ¶CARTER LAKE ON NORTH NEBRASKA SHORE AT BOAT RAMP                        ¶T15N R13E SEC 2 NE 1/4                                                  ¶¶¶¶¶¶¶¶¶¶¶¶¶MIGRATED FROM LEGACY STORET AGENCY CODE (1117MBR ) ON 08-JAN-01¶MAJOR BASIN NAME: MISSOURI                ¶BASIN CODE: 091200¶MINOR BASIN NAME: MISSOURI TRIB",10230006,,,,,41.3055556,-95.9152778,,,,Unknown,UNKWN,,,,,,,US,31,55,,,,,,,,,STORET
1117MBR,US EPA Region 7,1117MBR-005524,CARTER LK. WEST END NR BOATHOSE,Lake,"COUNTY: DOUGLAS, CITY: N/A, LAMS STATION CODE: 61000000                 ¶SITE IS ON NORTH SIDE OF SMALL BOAT CLUB HOUSE ON NEBRASKA NORTHWEST    ¶SHORE, T15N R13E SEC 3 NE 1/4                                           ¶¶¶¶¶¶¶¶¶¶¶¶¶MIGRATED FROM LEGACY STORET AGENCY CODE (1117MBR ) ON 08-JAN-01¶MAJOR BASIN NAME: MISSOURI                ¶BASIN CODE: 091200¶MINOR BASIN NAME: MISSOURI TRIB",10230006,,,,,41.3,-95.9277778,,,,Unknown,UNKWN,,,,,,,US,31,55,,,,,,,,,STORET
1117MBR,US EPA Region 7,1117MBR-005525,SOUTH EAST NEBRASKA SHORE,Lake,"COUNTY: DOUGLAS, CITY: N/A, LAMS STATION CODE: 61000000                 ¶SOUTH EAST SHORE, NEBRASKA SIDE, NEAR ISLAND END OF LAKE                ¶T15N R13E SEC 1 SE 1/2                                                  ¶¶¶¶¶¶¶¶¶¶¶¶¶MIGRATED FROM LEGACY STORET AGENCY CODE (1117MBR ) ON 08-JAN-01¶MAJOR BASIN NAME: MISSOURI                ¶BASIN CODE: 091200¶MINOR BASIN NAME: MISSOURI TRIB",10230006,,,,,41.2916667,-95.9027778,,,,Unknown,UNKWN,,,,,,,US,31,55,,,,,,,,,STORET
1117MBR,US EPA Region 7,1117MBR-007603,"CARTER LAKE NEAR CARTER LAKE, IOWA.",Lake,¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶MIGRATED FROM LEGACY STORET AGENCY CODE (1117MBR ) ON 13-DEC-99¶MAJOR BASIN NAME: ¶BASIN CODE: ¶MINOR BASIN NAME:,10230006,,,,,41.3052778,-95.9147222,,,,Unknown,UNKWN,,,,,,,US,31,55,,,,,,,,,STORET
21IOWA,Iowa Dept. of  Natural Resources,21IOWA-22780001,Carter Lake Max Depth,Lake,,10230006,,,,,41.2894052,-95.904751,24000,,,Interpolation-Map,NAD83,0,ft,,,,Unknown,US,31,55,,,,,,,,,STORET
21IOWA_WQX,21IOWA-Iowa Dept. of  Natural Resources,21IOWA_WQX-22780001,Carter Lake Max Depth,Lake,,10230006,,,,,41.289405,-95.904751,0,,,Interpolation-Map,NAD83,,,,,,,US,31,55,,,,,,,,,STORET
21IOWA_WQX,21IOWA-Iowa Dept. of  Natural Resources,21IOWA_WQX-26780001,Carter Lake East,Lake,,10230006,,,,,41.302105,-95.905769,0,,,Interpolation-Map,NAD83,,,,,,,US,31,55,,,,,,,,,STORET
21IOWA_WQX,21IOWA-Iowa Dept. of  Natural Resources,21IOWA_WQX-26780002,Carter Lake West,Lake,,10230006,,,,,41.299143,-95.927063,0,,,Interpolation-Map,NAD83,,,,,,,US,31,55,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER01,Carter Lake (Omaha) -- Deep Water -- Site 01,Lake,,10230006,,,,,41.302202,-95.915881,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,55,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER02,Carter Lake (Omaha) -- Mid-Lake -- Site 02,Lake,,10230006,,,,,41.299295,-95.927271,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,55,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER03,Carter Lake (Omaha) -- North Shore Boat Ramp -- Site 03,Lake,,10230006,,,,,41.30372,-95.91317,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,55,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER04,Carter Lake (Omaha) -- South Pier -- Site 04,Lake,,10230006,,,,,41.29267,-95.903,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,55,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LMT1CARTER06,Carter Lake (Omaha) -- Southwest Corner of Lake -- Site 06,Lake,,10230006,,,,,41.29083,-95.93097,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,55,,,,,,,,,STORET
EPA_R7,US EPA Region 7,EPA_R7-007603,"CARTER LAKE NEAR CARTER LAKE, IOWA.",Lake,¶¶¶¶¶¶¶¶¶¶¶¶¶¶¶MIGRATED FROM LEGACY STORET AGENCY CODE (1117MBR ) ON 13-DEC-99¶MAJOR BASIN NAME: ¶BASIN CODE: ¶MINOR BASIN NAME:,10230006,,,,,41.3052778,-95.9147222,,,,Unknown,UNKWN,,,,,,,US,31,55,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT2001,Fremont Lake No. 20 (SRA) -- Deep Water -- Site 01,Lake,,10200202,,,,,41.436322,-96.548943,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,53,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT2002,Fremont Lake No. 20 (SRA) -- Mid-Lake -- Site 02,Lake,,10200202,,,,,41.437522,-96.551652,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,53,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT2003,Fremont Lake No. 20 (SRA) -- Boat Ramp -- Site 03,Lake,,10200202,,,,,41.439415,-96.553907,24000,,,Interpolation-Map,NAD83,,,,,,,US,31,53,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT2004,Fremont Lake No. 20 (SRA) -- East Beach -- Site 04,Lake,,10200202,,,,,41.43748,-96.54665,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,53,,,,,,,,,STORET
21NEB001_WQX,Nebraska Dept. of Environmental Quality,21NEB001_WQX-LLP1FRMT2005,Fremont Lake No. 20 (SRA) -- West Beach -- Site 05,Lake,,10200202,,,,,41.43828,-96.55141,,,,GPS Code (Pseudo Range) Precise Position,NAD83,,,,,,,US,31,53,,,,,,,,,STORET
